source,target,relation_count,relations,model_count,models,documents,example_evidence
John Lewis,Student Nonviolent Coordinating Committee,2,leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment; the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,"SNCC's John Lewis || John Lewis, the young leader of the Student Non Violent Coordinating Committee (SNCC) || SNCC’s John Lewis || John Lewis, the young leader of the Student Non Violent Coordinating Committee (SNCC)"
Lyndon Johnson,Martin Luther King Jr.,2,associated_with; opposed_to,3,arc_apex; arc_lite; qwen_plus,JAS - MLK teaching UK schools,"King’s vexed but often productive relationship with President Lyndon Johnson had deteriorated. || King’s vexed but often productive relationship with President Lyndon Johnson had deteriorated. || For the split with Johnson see Sylvia Ellis, Freedom’s Pragmatist: Lyndon Johnson and Civil Rights || For the split with Johnson see Sylvia Ellis, Freedom’s Pragmatist: Lyndon Johnson and Civil Rights"
Martin Luther King Jr.,Monson Motor Lodge,2,associated_with; participated_in,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"he was arrested trying to desegregate the restaurant of the Monson Motor Lodge || On 11 June 1964 he was arrested trying to desegregate the restaurant of the Monson Motor Lodge. || On 11 June 1964 he was arrested trying to desegregate the restaurant of the Monson Motor Lodge || someone with a shotgun fired a dozen shots into the beach home where Martin Luther King, Jr, was staying"
Martin Luther King Jr.,open housing movement,2,leader_of; organised,3,arc_apex; arc_lite; qwen_plus,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,"Martin Luther King, Jr., tried to launch an open housing movement in Chicago and failed. || Martin Luther King, Jr., tried to launch an open housing movement in Chicago and failed. || Martin Luther King, Jr., tried to launch an open housing movement in Chicago and failed."
Mary King,Student Nonviolent Coordinating Committee,2,leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,s41599-024-03182-3,Julian Bond and Mary King—who headed up SNCC’s telephone network || Julian Bond and Mary King—who headed up SNCC’s telephone network || Julian Bond and Mary King—who headed up SNCC’s telephone network—Communication Department
National Association for the Advancement of Colored People,Civil Rights Movement,2,member_of; participated_in,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment; MorrisAnnRev1999CRM,"Organizations like SCLC, NAACP, CORE and SNCC were very visible in the civil rights movement || This organization increased the formal organizational base of the movement, which already included... the NAACP || ion for the Advancement of Colored People (NAACP), 1960s civil rights activism, oral histories, Southern Christian Leadership Conference (SCLC), Student Nonviolent Coordinating Committee (SNCC), trauma and burnout"
National Association for the Advancement of Colored People,Southern Christian Leadership Conference,2,associated_with; collaborated_with,3,arc_apex; arc_lite; qwen_plus,Hughes; Intergenerational movement memoirs and the emotional costs of activist commitment; s41599-024-03182-3,"the relationship between prominent organisations, such as the National Association for the Advancement of Colored People (NAACP) and the Southern Christian Leadership Conference (SCLC) || the relationship between prominent organisations, such as the National Association for the Advancement of Colored People (NAACP) and the Southern Christian Leadership Conference (SCLC) || National Association for the Advancement of Colored People (NAACP), Southern Christian Leadership Conference (SCLC) || street naming proposals—most coming from local chapters of the NAACP (National Association for Advancement of Colored People) and SCLC (Southern Christian Leadership Conference) and various other Black-led community initiatives—have placed immense value in memorializing King as a metonym of the successes and sacriﬁces of the Movement."
Patricia Stephens Due,Southern Christian Leadership Conference,2,collaborated_with; member_of,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"also worked with the Southern Christian Leadership Conference (SCLC) || worked with the Southern Christian Leadership Conference (SCLC) || Patricia Stephens Due, another CORE organizer who also worked with the Southern Christian Leadership Conference (SCLC) || Patricia Stephens Due, another CORE organizer who also worked with the Southern Christian Leadership Conference (SCLC)"
Patricia Stephens Due,Student Nonviolent Coordinating Committee,2,collaborated_with; member_of,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"also worked with... SNCC || worked with... SNCC || Patricia Stephens Due, another CORE organizer who also worked with the ... SNCC || Patricia Stephens Due, another CORE organizer who also worked with the Southern Christian Leadership Conference (SCLC), SNCC || Patricia Stephens Due, another CORE organizer who also worked with the Southern Christian Leadership Conference (SCLC), SNCC"
Roy Wilkins,National Association for the Advancement of Colored People,2,leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida; JAS - MLK teaching UK schools; Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,Executive secretary Roy Wilkins feared that 'the civil rights movement in Florida and the entire Southeast' would be imperilled if the NAACP lost. || the NAACP's Executive Secretary || Executive secretary Roy Wilkins feared that ‘the civil rights movement in Florida and the entire Southeast’ would be imperilled if the NAACP lost. || Roy Wilkins of the NAACP
Ruby Doris Smith Robinson,Student Nonviolent Coordinating Committee,2,leader_of; member_of,3,arc_apex; arc_lite; qwen_plus,s41599-024-03182-3,"SNCC members elected Robinson to replace him as executive secretary || The decision of SNCC leaders such as Robinson to rename their subversive transportation system || Robinson was a founding member of SNCC || Female colleagues in SNCC saw Ruby Doris Smith Robinson as tough, ﬁerce, and merciless. || Robinson was a founding member of SNCC || Female colleagues in SNCC saw Ruby Doris Smith Robinson as tough, ﬁerce, and merciless. || Robinson was a founding member of SNCC"
Septima Clark,Civil Rights Movement,2,leader_of; participated_in,3,arc_apex; arc_lite; qwen_plus,MorrisAnnRev1999CRM,"The expertise of leaders such as Ella Baker, A Philip Randolph, Bayard Rustin, and Septima Clark supplied the movement with vision and technical knowledge pertaining to collective action. || The expertise of leaders such as... Septima Clark supplied the movement with vision and technical knowledge || Black leaders from previous movements played important roles in the civil rights movement. The expertise of leaders such as Ella Baker, A Philip Randolph, Bayard Rustin, and Septima Clark supplied the movement with vision and technical knowledge pertaining to collective action. || Parks' resistance and civil rights activity were not unlike those of countless Black women such as Ella Baker, Septima Clark, Fannie Lou Hamer"
Sojourner Truth Motor Fleet,Sojourner Truth,2,associated_with; influenced_by,3,arc_apex; arc_lite; qwen_plus,s41599-024-03182-3,"Sojourner Truth's name identified and participated in an antiracist mobility work || rename their subversive transportation system for Sojourner Truth... The example of the Sojourner Motor Fleet || was named after the prominent 19th century African American freedom ﬁghter Sojourner Truth || SNCC’s transport company, the Sojourner Motor Fleet, was named after the prominent 19th century African American freedom ﬁghter Sojourner Truth || the Sojourner Motor Fleet is instructive of a Black onomastic agency... Sojourner Truth’s name identiﬁed and participated in an antiracist mobility work || The decision of SNCC leaders such as Robinson to rename their subversive transportation system for Sojourner Truth represented an honoring of prominent Black women freedom fighters || the Sojourner Motor Fleet is instructive of a Black onomastic agency long before the current renaming moment garnered attention"
Southern Christian Leadership Conference,Civil Rights Movement,2,member_of; participated_in,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment; MorrisAnnRev1999CRM,"Organizations like SCLC, NAACP, CORE and SNCC were very visible in the civil rights movement || This organization increased the formal organizational base of the movement, which already included the Southern Christian Leadership Conference (SCLC) || ion for the Advancement of Colored People (NAACP), 1960s civil rights activism, oral histories, Southern Christian Leadership Conference (SCLC), Student Nonviolent Coordinating Committee (SNCC), trauma and burnout"
Southern Christian Leadership Conference,Student Nonviolent Coordinating Committee,2,associated_with; opposed_to,3,arc_apex; arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment; MorrisAnnRev1999CRM,"the conflict between SCLC and SNCC || the movement failed to reach its goals because of the conflict between SCLC and SNCC || Southern Christian Leadership Conference (SCLC), Student Nonviolent Coordinating Committee (SNCC) || This organization increased the formal organizational base of the movement, which already included the Southern Christian Leadership Conference (SCLC), the Congress of Racial Equality (CORE), the NAACP, and numerous local movement organizations"
Tobias Simon,St Augustine,2,located_in; participated_in,3,arc_apex; arc_lite; qwen_plus,A fight for racial equality in Florida,"drew in the Miami-based Tobias Simon, a key lawyer for progressive causes in the state || drew in the Miami-based Tobias Simon, a key lawyer for progressive causes in the state || Congress debated in the shadow of the ‘troubles’ in St Augustine. ... By helping to make the law applicable to St Augustine, Bronstein earned the gratitude of the movement there. || Accepting the pleas of Kunstler and Simon, the judge ordered bonds for the defendants. || Simon quickly challenged the ban || drew in the Miami-based Tobias Simon, a key lawyer for progressive causes in the state"
A. Philip Randolph,Martin Luther King Jr.,2,associated_with; collaborated_with,2,arc_apex; arc_lite,JAS - MLK teaching UK schools,"King attended independence celebrations in Ghana, along with Vice President Richard Nixon, Adam Clayton Powell, and A. Philip Randolph || King attended independence celebrations in Ghana, along with Vice President Richard Nixon, Adam Clayton Powell, and A. Philip Randolph."
Alabama,Brown v. Board of Education,2,associated_with; opposed_to,2,arc_apex; arc_lite,A fight for racial equality in Florida,"In 1956, two years after Brown v. Board of Education, four southern states prevented even a single black pupil from attending a public school with Whites: Mississippi, Alabama, Georgia and Florida. || In 1956, two years after Brown v. Board of Education, four southern states prevented even a single black pupil from attending a public school with Whites: Mississippi, Alabama, Georgia and Florida."
Alvin J. Bronstein,Civil Rights Act 1964,2,associated_with; participated_in,2,arc_lite; qwen_plus,A fight for racial equality in Florida,The Civil Rights Act promised a breakout from confinement within the black community and offered the vision of equality. But would the city of St Augustine comply with the law? Simpson was wary. He met privately with Bronstein and told him that he would ‘allow attorneys’ fees in any case brought under the Civil Rights Act’ || The Civil Rights Act promised a breakout from confinement within the black community and offered the vision of equality.
Andrew Young,St Augustine,2,connected_to; participated_in,2,arc_apex; qwen_plus,A fight for racial equality in Florida,a biracial group that included Reverend Andrew Young of the SCLC || a waitress had poured hot coffee on a biracial group that included Reverend Andrew Young of the SCLC
Atlanta,John Lewis,2,associated_with; connected_to,2,arc_apex; arc_lite,Intergenerational movement memoirs and the emotional costs of activist commitment,Atlanta's mayor eulogized John Lewis in July 2020 || as Atlanta’s mayor eulogized John Lewis in July 2020
Bayard Rustin,New York City school strikes,2,associated_with; participated_in,2,arc_apex; qwen_plus,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,"During the New York City school strikes of the late 1960s, Rustin's steadfast belief in strong labor unions put him on the side of the mostly white United Federation of Teachers || During the New York City school strikes of the late 1960s, Rustin’s steadfast belief in strong labor unions put him on the side of the mostly white United Federation of Teachers"
Black Power,Patricia Stephens Due,2,associated_with; collaborated_with,2,arc_apex; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"also worked with... Black Power organizations in Florida || and Black Power || Patricia Stephens Due, another CORE organizer who also worked with the Southern Christian Leadership Conference (SCLC), SNCC, the National Association for the Advancement of Colored People (NAACP) and Black Power"
Charles Billups,Birmingham,2,located_in; participated_in,2,arc_lite; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,The family left Birmingham for Chicago in 1966 || leading a ‘Miracle March’ in Birmingham on 5 May 1963 || warning Bull Connor that if he turned police dogs [...] on demonstrators as he had on black children two days earlier
Civil Rights Movement,Florida,2,associated_with; connected_to,2,arc_apex; arc_lite,A fight for racial equality in Florida,this essay addresses specifically with regard to the fight in Florida || Florida a tempting target for the Civil Rights Movement || That the political leadership of the state recognized the need to show compatibility with the contemporary United States made Florida a tempting target for the Civil Rights Movement.
Civil Rights Movement,sit-in movement,2,associated_with; organised,2,arc_apex; qwen_plus,MorrisAnnRev1999CRM,"The sit-in movement and SNCC constituted the framework through which large numbers of white college students came to participate in the civil rights movement. || direct action and especially the sit-in, which the civil rights movement utilized and made famous around the globe || the sit-in, which the civil rights movement utilized and made famous around the globe || the widespread use and development of nonviolent direct action tactics is one of the crowning achievements of the civil rights movement... especially the sit-in, which the civil rights movement utilized and made famous"
Congress of Racial Equality,Civil Rights Movement,2,member_of; participated_in,2,arc_apex; arc_lite,MorrisAnnRev1999CRM,"Organizations like SCLC, NAACP, CORE and SNCC were very visible in the civil rights movement || This organization increased the formal organizational base of the movement, which already included... the Congress of Racial Equality (CORE)"
Congress of Racial Equality,Freedom Rides,2,organised; participated_in,2,arc_apex; qwen_plus,A fight for racial equality in Florida; Intergenerational movement memoirs and the emotional costs of activist commitment,when some of the Brooklyn members were arrested as Freedom Riders || Congress of Racial Equality's (CORE) David Dennis
Council of Federated Organizations,Student Nonviolent Coordinating Committee,2,associated_with; collaborated_with,2,arc_apex; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment; s41599-024-03182-3,"SNCC and allied organizations such as COFO (Council of Federated Organizations) organized and worked || Council of Federated Organizations (COFO), Student Nonviolent Coordinating Committee (SNCC)"
Dave Dennis,Schwerner,2,associated_with; collaborated_with,2,arc_apex; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"he was slated to accompany Chaney and Schwerner to investigate the burning of a black church || I remember my last words with Chaney, Goodman, and Schwerner, the day before they were killed in Neshoba County"
Ella Baker,Martin Luther King Jr.,2,associated_with; collaborated_with,2,arc_apex; qwen_plus,M12_Frost,"Ella Baker contended, ""Martin didn't make the movement, the movement made Martin."" || Martin didn’t make the movement, the movement made Martin."
Ella Baker,Modjeska Monteith Simkins,2,associated_with; connected_to,2,arc_apex; arc_lite,Modjeska Monteith Simkins and black female leadership  propriety  politics  place and periodization in the African American freedom struggle,"Despite her preference for didacticism over the 'Socratic' methods favoured by Ella Baker, Simkins encouraged self- and communal empowerment || There were also parallels with Ella Baker, another leader, who 'lived outside categories and labels' || Despite her preference for didacticism over the ‘Socratic’ methods favoured by Ella Baker, Simkins encouraged self- and communal empowerment"
Ella Baker,Ruby Doris Smith Robinson,2,collaborated_with; leader_of,2,arc_lite; qwen_plus,s41599-024-03182-3,"Mentored by civil rights icon Ella Baker, Robinson served as the administrative secretary || Mentored by civil rights icon Ella Baker"
Florida,National Association for the Advancement of Colored People,2,associated_with; opposed_to,2,arc_lite; qwen_plus,A fight for racial equality in Florida,"The NAACP won, barely (5–4). ... In delaying desegregation, Florida was very much a southern state. || The state’s transparent purpose was to weaken, if not destroy, a civil rights organization that the legislature deemed ‘subversive’. || Tallahassee yearned to acquire the membership lists of the National Association for the Advancement of Colored People (NAACP). The state’s transparent purpose was to weaken, if not destroy, a civil rights organization that the legislature deemed ‘subversive’."
Freedom houses,Freedom Summer,2,associated_with; participated_in,2,arc_apex; qwen_plus,s41599-024-03182-3,"during the Freedom Summer of 1964, approximately seventy homes and community centers were bombed—including some Freedom houses || over the span of 10 weeks during the Freedom Summer of 1964, approximately seventy homes and community centers were bombed—including some Freedom houses—"
James Groppi,National Association for the Advancement of Colored People,2,associated_with; leader_of,2,arc_apex; arc_lite,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Groppi mentored the local NAACP (National Association for the Advancement of Colored People) Youth Council's (YC) and its Commandos || Groppi mentored the local NAACP (National Association for the Advancement of Colored People) Youth Council’s (YC)
Jeanne Theoharis,Julian Bond,2,collaborated_with; influenced_by,2,arc_apex; qwen_plus,Intergenerational movement memoirs and the emotional costs of activist commitment,"Theoharis credits her mentor, SNCC’s Julian Bond, for encouraging her || Theoharis credits her mentor, SNCC’s Julian Bond, for encouraging her not to omit the emotional harm that Parks suffered"
Malcolm X,Martin Luther King Jr.,2,associated_with; collaborated_with,2,arc_apex; arc_lite,JAS - MLK teaching UK schools,King and Malcolm as individuals whose ideas and activism evolved and occasionally overlapped obscures their shared understanding || from King to Malcolm X || The refusal to view King and Malcolm as individuals whose ideas and activism evolved and occasionally overlapped obscures their shared understanding
Martin Luther King Jr.,Montgomery,2,associated_with; located_in,2,arc_apex; qwen_plus,JAS - MLK teaching UK schools,"In Montgomery, as in many campaigns during the late 1950s and early 1960s, King's image of respectability was consciously crafted || In Montgomery, as in many campaigns during the late 1950s and early 1960s, King’s image of respectability was consciously crafted"
Martin Luther King Jr.,Reconstruction,2,associated_with; influenced_by,2,arc_apex; qwen_plus,the-dark-and-sad-days-of-reconstruction-the-politics-of-memory-in-the-civil-rights-era,"""Martin Luther King wants to bring back reconstruction days"" || Martin Luther King Jr., the pre-eminent leader of the civil rights movement, “rarely discussed Reconstruction,” although King did note in a 1957 article that when “Reconstruction ruled,” Black people “had a brief period of eminence and political power.”"
Ruby Doris Smith Robinson,Sojourner Truth,2,associated_with; influenced_by,2,arc_apex; qwen_plus,s41599-024-03182-3,the kinship that Ruby Doris Smith Robinson and other women activists in SNCC felt with the early feminist praxis of Sojourner Truth || the naming of the Motor Fleet reflected the kinship that Ruby Doris Smith Robinson and other women activists in SNCC felt with the early feminist praxis of Sojourner Truth
Sojourner Truth,Sojourner Truth Motor Fleet,2,associated_with; connected_to,2,arc_apex; qwen_plus,s41599-024-03182-3,the naming of the Motor Fleet || SNCC invoked the name of Sojourner Truth when one notes that Black female activist Ruby Doris Smith Robinson established and shrewdly managed the car system
Sojourner Truth,Student Nonviolent Coordinating Committee,2,associated_with; influenced_by,2,arc_apex; qwen_plus,s41599-024-03182-3,"SNCC invoked the name of Sojourner Truth || SNCC’s transport company, the Sojourner Motor Fleet, was named after the prominent 19th century African American freedom fighter Sojourner Truth"
Southern Christian Leadership Conference,Martin Luther King Jr.,2,leader_of; member_of,2,arc_lite; qwen_plus,A fight for racial equality in Florida,"the Southern Christian Leadership Conference under Martin Luther King, Jr || Martin Luther King and 17 others jailed trying to integrate St Augustine restaurant (May 1964)"
Southern Christian Leadership Conference,Tobias Simon,2,associated_with; collaborated_with,2,arc_apex; qwen_plus,A fight for racial equality in Florida,"Simon, who worked pro bono for the SCLC || Simpson nevertheless ruled against the SCLC appeal || In addition to Simon, who worked pro bono for the SCLC || In attracting lawyers like Kunstler and Alvin J. Bronstein to assist Simon, the SCLC campaign contributed noticeably to the education of a judge named Bryan Simpson || Simon told the judge that King himself graciously preferred Harris to simply recant his perjured testimony || Simpson called such conditions nothing less than ‘raw ugliness, studied and cynical brutality’. Accepting the pleas of Kunstler and Simon, the judge ordered bonds for the defendants."
Student Nonviolent Coordinating Committee,WATS Reports,2,associated_with; organised,2,arc_apex; qwen_plus,s41599-024-03182-3,"WATS Reports, which summarized racist incidents and antiracist protests reported by SN || WATS Reports, which summarized racist incidents and antiracist protests reported by SNCC || Forman set up and staffed a WATS line in 1963 as part of the lead up to the 1964 Mississippi Freedom Summer"
